time,open,high,low,close
2026-01-01T00:00:00.000Z,155.000,155.019,154.980,155.008
2026-01-01T00:01:00.000Z,155.008,155.026,155.006,155.013
2026-01-01T00:02:00.000Z,155.013,155.028,154.993,155.008
2026-01-01T00:03:00.000Z,155.008,155.030,154.996,155.007
2026-01-01T00:04:00.000Z,155.007,155.037,155.001,155.015
2026-01-01T00:05:00.000Z,155.015,155.035,155.014,155.029
2026-01-01T00:06:00.000Z,155.029,155.049,155.013,155.023
2026-01-01T00:07:00.000Z,155.023,155.050,155.000,155.029
2026-01-01T00:08:00.000Z,155.029,155.071,155.015,155.049
2026-01-01T00:09:00.000Z,155.049,155.074,155.040,155.052
2026-01-01T00:10:00.000Z,155.052,155.063,155.037,155.057
2026-01-01T00:11:00.000Z,155.057,155.070,155.045,155.065
2026-01-01T00:12:00.000Z,155.065,155.104,155.049,155.080
2026-01-01T00:13:00.000Z,155.080,155.086,155.072,155.080
2026-01-01T00:14:00.000Z,155.080,155.119,155.056,155.097
2026-01-01T00:15:00.000Z,155.097,155.127,155.079,155.115
2026-01-01T00:16:00.000Z,155.115,155.160,155.102,155.138
2026-01-01T00:17:00.000Z,155.138,155.171,155.115,155.160
2026-01-01T00:18:00.000Z,155.160,155.179,155.158,155.171
2026-01-01T00:19:00.000Z,155.171,155.193,155.149,155.185
2026-01-01T00:20:00.000Z,155.185,155.211,155.174,155.193
2026-01-01T00:21:00.000Z,155.193,155.232,155.185,155.223
2026-01-01T00:22:00.000Z,155.223,155.253,155.210,155.234
2026-01-01T00:23:00.000Z,155.234,155.256,155.230,155.246
2026-01-01T00:24:00.000Z,155.246,155.267,155.232,155.262
2026-01-01T00:25:00.000Z,155.262,155.288,155.237,155.284
2026-01-01T00:26:00.000Z,155.284,155.305,155.272,155.296
2026-01-01T00:27:00.000Z,155.296,155.326,155.290,155.306
2026-01-01T00:28:00.000Z,155.306,155.341,155.303,155.329
2026-01-01T00:29:00.000Z,155.329,155.356,155.320,155.350
2026-01-01T00:30:00.000Z,155.350,155.394,155.328,155.370
2026-01-01T00:31:00.000Z,155.370,155.416,155.369,155.398
2026-01-01T00:32:00.000Z,155.398,155.437,155.377,155.416
2026-01-01T00:33:00.000Z,155.416,155.449,155.403,155.437
2026-01-01T00:34:00.000Z,155.437,155.474,155.415,155.460
2026-01-01T00:35:00.000Z,155.460,155.499,155.459,155.489
2026-01-01T00:36:00.000Z,155.489,155.541,155.475,155.519
2026-01-01T00:37:00.000Z,155.519,155.540,155.519,155.537
2026-01-01T00:38:00.000Z,155.537,155.558,155.513,155.556
2026-01-01T00:39:00.000Z,155.556,155.601,155.542,155.585
2026-01-01T00:40:00.000Z,155.585,155.613,155.570,155.613
2026-01-01T00:41:00.000Z,155.613,155.656,155.607,155.637
2026-01-01T00:42:00.000Z,155.637,155.670,155.614,155.664
2026-01-01T00:43:00.000Z,155.664,155.696,155.664,155.688
2026-01-01T00:44:00.000Z,155.688,155.721,155.663,155.710
2026-01-01T00:45:00.000Z,155.710,155.765,155.689,155.744
2026-01-01T00:46:00.000Z,155.744,155.806,155.740,155.782
2026-01-01T00:47:00.000Z,155.782,155.829,155.767,155.818
2026-01-01T00:48:00.000Z,155.818,155.848,155.794,155.846
2026-01-01T00:49:00.000Z,155.846,155.912,155.837,155.889
2026-01-01T00:50:00.000Z,155.889,155.928,155.874,155.925
2026-01-01T00:51:00.000Z,155.925,155.986,155.916,155.963
2026-01-01T00:52:00.000Z,155.963,156.012,155.950,156.008
2026-01-01T00:53:00.000Z,156.008,156.036,155.990,156.036
2026-01-01T00:54:00.000Z,156.036,156.081,156.027,156.077
2026-01-01T00:55:00.000Z,156.077,156.120,156.053,156.112
2026-01-01T00:56:00.000Z,156.112,156.172,156.089,156.147
2026-01-01T00:57:00.000Z,156.147,156.196,156.136,156.173
2026-01-01T00:58:00.000Z,156.173,156.206,156.163,156.205
2026-01-01T00:59:00.000Z,156.205,156.250,156.196,156.238
2026-01-01T01:00:00.000Z,156.238,156.276,156.235,156.271
2026-01-01T01:01:00.000Z,156.271,156.340,156.268,156.319
2026-01-01T01:02:00.000Z,156.319,156.375,156.316,156.359
2026-01-01T01:03:00.000Z,156.359,156.411,156.359,156.388
2026-01-01T01:04:00.000Z,156.388,156.422,156.367,156.414
2026-01-01T01:05:00.000Z,156.414,156.462,156.407,156.454
2026-01-01T01:06:00.000Z,156.454,156.497,156.443,156.484
2026-01-01T01:07:00.000Z,156.484,156.520,156.475,156.513
2026-01-01T01:08:00.000Z,156.513,156.556,156.501,156.548
2026-01-01T01:09:00.000Z,156.548,156.597,156.533,156.594
2026-01-01T01:10:00.000Z,156.594,156.622,156.579,156.620
2026-01-01T01:11:00.000Z,156.620,156.653,156.617,156.649
2026-01-01T01:12:00.000Z,156.649,156.716,156.645,156.692
2026-01-01T01:13:00.000Z,156.692,156.738,156.691,156.727
2026-01-01T01:14:00.000Z,156.727,156.762,156.722,156.760
2026-01-01T01:15:00.000Z,156.760,156.809,156.754,156.809
2026-01-01T01:16:00.000Z,156.809,156.852,156.798,156.845
2026-01-01T01:17:00.000Z,156.845,156.877,156.843,156.876
2026-01-01T01:18:00.000Z,156.876,156.951,156.875,156.926
2026-01-01T01:19:00.000Z,156.926,156.974,156.914,156.953
2026-01-01T01:20:00.000Z,156.953,157.004,156.945,156.988
2026-01-01T01:21:00.000Z,156.988,157.046,156.978,157.028
2026-01-01T01:22:00.000Z,157.028,157.088,157.028,157.074
2026-01-01T01:23:00.000Z,157.074,157.132,157.051,157.115
2026-01-01T01:24:00.000Z,157.115,157.147,157.101,157.142
2026-01-01T01:25:00.000Z,157.142,157.190,157.117,157.174
2026-01-01T01:26:00.000Z,157.174,157.202,157.167,157.202
2026-01-01T01:27:00.000Z,157.202,157.249,157.193,157.239
2026-01-01T01:28:00.000Z,157.239,157.297,157.238,157.284
2026-01-01T01:29:00.000Z,157.284,157.338,157.266,157.315
2026-01-01T01:30:00.000Z,157.315,157.350,157.303,157.342
2026-01-01T01:31:00.000Z,157.342,157.393,157.342,157.382
2026-01-01T01:32:00.000Z,157.382,157.436,157.366,157.425
2026-01-01T01:33:00.000Z,157.425,157.480,157.413,157.474
2026-01-01T01:34:00.000Z,157.474,157.514,157.466,157.502
2026-01-01T01:35:00.000Z,157.502,157.563,157.484,157.549
2026-01-01T01:36:00.000Z,157.549,157.597,157.542,157.595
2026-01-01T01:37:00.000Z,157.595,157.644,157.585,157.623
2026-01-01T01:38:00.000Z,157.623,157.654,157.609,157.650
2026-01-01T01:39:00.000Z,157.650,157.711,157.636,157.690
2026-01-01T01:40:00.000Z,157.690,157.727,157.680,157.718
2026-01-01T01:41:00.000Z,157.718,157.778,157.712,157.759
2026-01-01T01:42:00.000Z,157.759,157.823,157.748,157.800
2026-01-01T01:43:00.000Z,157.800,157.856,157.789,157.846
2026-01-01T01:44:00.000Z,157.846,157.898,157.822,157.893
2026-01-01T01:45:00.000Z,157.893,157.940,157.889,157.921
2026-01-01T01:46:00.000Z,157.921,157.970,157.906,157.945
2026-01-01T01:47:00.000Z,157.945,157.993,157.944,157.979
2026-01-01T01:48:00.000Z,157.979,158.022,157.978,158.014
2026-01-01T01:49:00.000Z,158.014,158.061,157.992,158.052
2026-01-01T01:50:00.000Z,158.052,158.091,158.045,158.077
2026-01-01T01:51:00.000Z,158.077,158.109,158.054,158.103
2026-01-01T01:52:00.000Z,158.103,158.138,158.089,158.125
2026-01-01T01:53:00.000Z,158.125,158.169,158.106,158.154
2026-01-01T01:54:00.000Z,158.154,158.201,158.132,158.193
2026-01-01T01:55:00.000Z,158.193,158.235,158.173,158.228
2026-01-01T01:56:00.000Z,158.228,158.270,158.228,158.266
2026-01-01T01:57:00.000Z,158.266,158.332,158.265,158.308
2026-01-01T01:58:00.000Z,158.308,158.368,158.290,158.345
2026-01-01T01:59:00.000Z,158.345,158.393,158.328,158.374
2026-01-01T02:00:00.000Z,158.374,158.413,158.361,158.410
2026-01-01T02:01:00.000Z,158.410,158.445,158.407,158.438
2026-01-01T02:02:00.000Z,158.438,158.481,158.415,158.470
2026-01-01T02:03:00.000Z,158.470,158.514,158.445,158.496
2026-01-01T02:04:00.000Z,158.496,158.539,158.483,158.521
2026-01-01T02:05:00.000Z,158.521,158.544,158.510,158.539
2026-01-01T02:06:00.000Z,158.539,158.595,158.517,158.577
2026-01-01T02:07:00.000Z,158.577,158.629,158.558,158.615
2026-01-01T02:08:00.000Z,158.615,158.678,158.603,158.656
2026-01-01T02:09:00.000Z,158.656,158.684,158.636,158.680
2026-01-01T02:10:00.000Z,158.680,158.728,158.661,158.709
2026-01-01T02:11:00.000Z,158.709,158.756,158.705,158.747
2026-01-01T02:12:00.000Z,158.747,158.782,158.736,158.764
2026-01-01T02:13:00.000Z,158.764,158.799,158.746,158.784
2026-01-01T02:14:00.000Z,158.784,158.833,158.762,158.822
2026-01-01T02:15:00.000Z,158.822,158.858,158.818,158.848
2026-01-01T02:16:00.000Z,158.848,158.886,158.832,158.869
2026-01-01T02:17:00.000Z,158.869,158.901,158.863,158.886
2026-01-01T02:18:00.000Z,158.886,158.926,158.862,158.907
2026-01-01T02:19:00.000Z,158.907,158.931,158.894,158.930
2026-01-01T02:20:00.000Z,158.930,158.981,158.907,158.962
2026-01-01T02:21:00.000Z,158.962,159.020,158.944,158.997
2026-01-01T02:22:00.000Z,158.997,159.036,158.975,159.030
2026-01-01T02:23:00.000Z,159.030,159.072,159.005,159.056
2026-01-01T02:24:00.000Z,159.056,159.099,159.036,159.095
2026-01-01T02:25:00.000Z,159.095,159.129,159.081,159.121
2026-01-01T02:26:00.000Z,159.121,159.159,159.102,159.136
2026-01-01T02:27:00.000Z,159.136,159.176,159.130,159.156
2026-01-01T02:28:00.000Z,159.156,159.190,159.153,159.176
2026-01-01T02:29:00.000Z,159.176,159.216,159.160,159.195
2026-01-01T02:30:00.000Z,159.195,159.213,159.183,159.211
2026-01-01T02:31:00.000Z,159.211,159.267,159.203,159.250
2026-01-01T02:32:00.000Z,159.250,159.298,159.225,159.277
2026-01-01T02:33:00.000Z,159.277,159.322,159.263,159.312
2026-01-01T02:34:00.000Z,159.312,159.357,159.292,159.334
2026-01-01T02:35:00.000Z,159.334,159.362,159.310,159.351
2026-01-01T02:36:00.000Z,159.351,159.397,159.329,159.373
2026-01-01T02:37:00.000Z,159.373,159.411,159.350,159.402
2026-01-01T02:38:00.000Z,159.402,159.425,159.398,159.417
2026-01-01T02:39:00.000Z,159.417,159.442,159.407,159.437
2026-01-01T02:40:00.000Z,159.437,159.475,159.421,159.461
2026-01-01T02:41:00.000Z,159.461,159.493,159.460,159.481
2026-01-01T02:42:00.000Z,159.481,159.514,159.479,159.511
2026-01-01T02:43:00.000Z,159.511,159.562,159.511,159.544
2026-01-01T02:44:00.000Z,159.544,159.578,159.529,159.562
2026-01-01T02:45:00.000Z,159.562,159.600,159.547,159.595
2026-01-01T02:46:00.000Z,159.595,159.642,159.572,159.620
2026-01-01T02:47:00.000Z,159.620,159.653,159.619,159.634
2026-01-01T02:48:00.000Z,159.634,159.692,159.623,159.669
2026-01-01T02:49:00.000Z,159.669,159.720,159.659,159.696
2026-01-01T02:50:00.000Z,159.696,159.743,159.683,159.735
2026-01-01T02:51:00.000Z,159.735,159.769,159.734,159.758
2026-01-01T02:52:00.000Z,159.758,159.804,159.734,159.791
2026-01-01T02:53:00.000Z,159.791,159.838,159.770,159.828
2026-01-01T02:54:00.000Z,159.828,159.882,159.824,159.858
2026-01-01T02:55:00.000Z,159.858,159.890,159.850,159.876
2026-01-01T02:56:00.000Z,159.876,159.920,159.874,159.916
2026-01-01T02:57:00.000Z,159.916,159.952,159.909,159.937
2026-01-01T02:58:00.000Z,159.937,159.971,159.931,159.954
2026-01-01T02:59:00.000Z,159.954,160.008,159.942,159.987
2026-01-01T03:00:00.000Z,159.987,160.050,159.965,160.026
2026-01-01T03:01:00.000Z,160.026,160.080,160.017,160.058
2026-01-01T03:02:00.000Z,160.058,160.093,160.043,160.085
2026-01-01T03:03:00.000Z,160.085,160.121,160.073,160.102
2026-01-01T03:04:00.000Z,160.102,160.146,160.089,160.123
2026-01-01T03:05:00.000Z,160.123,160.156,160.122,160.145
2026-01-01T03:06:00.000Z,160.145,160.195,160.143,160.185
2026-01-01T03:07:00.000Z,160.185,160.239,160.162,160.226
2026-01-01T03:08:00.000Z,160.226,160.292,160.207,160.267
2026-01-01T03:09:00.000Z,160.267,160.300,160.247,160.287
2026-01-01T03:10:00.000Z,160.287,160.324,160.286,160.309
2026-01-01T03:11:00.000Z,160.309,160.343,160.299,160.342
2026-01-01T03:12:00.000Z,160.342,160.384,160.330,160.370
2026-01-01T03:13:00.000Z,160.370,160.423,160.357,160.403
2026-01-01T03:14:00.000Z,160.403,160.462,160.400,160.438
2026-01-01T03:15:00.000Z,160.438,160.485,160.436,160.465
2026-01-01T03:16:00.000Z,160.465,160.504,160.453,160.493
2026-01-01T03:17:00.000Z,160.493,160.539,160.484,160.515
2026-01-01T03:18:00.000Z,160.515,160.546,160.501,160.540
2026-01-01T03:19:00.000Z,160.540,160.594,160.520,160.586
2026-01-01T03:20:00.000Z,160.586,160.619,160.584,160.610
2026-01-01T03:21:00.000Z,160.610,160.655,160.585,160.651
2026-01-01T03:22:00.000Z,160.651,160.698,160.632,160.686
2026-01-01T03:23:00.000Z,160.686,160.735,160.665,160.717
2026-01-01T03:24:00.000Z,160.717,160.761,160.716,160.744
2026-01-01T03:25:00.000Z,160.744,160.777,160.732,160.770
2026-01-01T03:26:00.000Z,160.770,160.808,160.764,160.797
2026-01-01T03:27:00.000Z,160.797,160.854,160.794,160.846
2026-01-01T03:28:00.000Z,160.846,160.898,160.834,160.876
2026-01-01T03:29:00.000Z,160.876,160.928,160.863,160.916
2026-01-01T03:30:00.000Z,160.916,160.965,160.903,160.965
2026-01-01T03:31:00.000Z,160.965,161.006,160.947,160.992
2026-01-01T03:32:00.000Z,160.992,161.035,160.983,161.035
2026-01-01T03:33:00.000Z,161.035,161.082,161.021,161.064
2026-01-01T03:34:00.000Z,161.064,161.131,161.057,161.113
2026-01-01T03:35:00.000Z,161.113,161.155,161.108,161.149
2026-01-01T03:36:00.000Z,161.149,161.206,161.147,161.188
2026-01-01T03:37:00.000Z,161.188,161.219,161.183,161.216
2026-01-01T03:38:00.000Z,161.216,161.279,161.201,161.256
2026-01-01T03:39:00.000Z,161.256,161.310,161.245,161.298
2026-01-01T03:40:00.000Z,161.298,161.349,161.284,161.342
2026-01-01T03:41:00.000Z,161.342,161.400,161.342,161.388
2026-01-01T03:42:00.000Z,161.388,161.418,161.368,161.417
2026-01-01T03:43:00.000Z,161.417,161.462,161.402,161.451
2026-01-01T03:44:00.000Z,161.451,161.514,161.441,161.503
2026-01-01T03:45:00.000Z,161.503,161.557,161.490,161.553
2026-01-01T03:46:00.000Z,161.553,161.607,161.533,161.605
2026-01-01T03:47:00.000Z,161.605,161.670,161.591,161.660
2026-01-01T03:48:00.000Z,161.660,161.700,161.637,161.693
2026-01-01T03:49:00.000Z,161.693,161.760,161.682,161.737
2026-01-01T03:50:00.000Z,161.737,161.799,161.737,161.777
2026-01-01T03:51:00.000Z,161.777,161.830,161.761,161.810
2026-01-01T03:52:00.000Z,161.810,161.867,161.800,161.852
2026-01-01T03:53:00.000Z,161.852,161.916,161.830,161.895
2026-01-01T03:54:00.000Z,161.895,161.940,161.881,161.933
2026-01-01T03:55:00.000Z,161.933,161.983,161.927,161.975
2026-01-01T03:56:00.000Z,161.975,162.019,161.963,162.010
2026-01-01T03:57:00.000Z,162.010,162.083,162.000,162.062
2026-01-01T03:58:00.000Z,162.062,162.142,162.043,162.120
2026-01-01T03:59:00.000Z,162.120,162.200,162.118,162.176
2026-01-01T04:00:00.000Z,162.176,162.243,162.165,162.220
2026-01-01T04:01:00.000Z,162.220,162.270,162.210,162.268
2026-01-01T04:02:00.000Z,162.268,162.332,162.248,162.307
2026-01-01T04:03:00.000Z,162.307,162.379,162.298,162.361
2026-01-01T04:04:00.000Z,162.361,162.436,162.336,162.414
2026-01-01T04:05:00.000Z,162.414,162.489,162.405,162.468
2026-01-01T04:06:00.000Z,162.468,162.506,162.459,162.505
2026-01-01T04:07:00.000Z,162.505,162.551,162.485,162.547
2026-01-01T04:08:00.000Z,162.547,162.621,162.522,162.600
2026-01-01T04:09:00.000Z,162.600,162.674,162.577,162.658
2026-01-01T04:10:00.000Z,162.658,162.734,162.635,162.716
2026-01-01T04:11:00.000Z,162.716,162.771,162.706,162.761
2026-01-01T04:12:00.000Z,162.761,162.820,162.742,162.800
2026-01-01T04:13:00.000Z,162.800,162.867,162.776,162.855
2026-01-01T04:14:00.000Z,162.855,162.917,162.844,162.896
2026-01-01T04:15:00.000Z,162.896,162.960,162.881,162.954
2026-01-01T04:16:00.000Z,162.954,162.995,162.953,162.993
2026-01-01T04:17:00.000Z,162.993,163.059,162.982,163.054
2026-01-01T04:18:00.000Z,163.054,163.111,163.048,163.100
2026-01-01T04:19:00.000Z,163.100,163.162,163.085,163.146
2026-01-01T04:20:00.000Z,163.146,163.194,163.123,163.191
2026-01-01T04:21:00.000Z,163.191,163.256,163.180,163.252
2026-01-01T04:22:00.000Z,163.252,163.308,163.241,163.302
2026-01-01T04:23:00.000Z,163.302,163.345,163.299,163.345
2026-01-01T04:24:00.000Z,163.345,163.402,163.325,163.392
2026-01-01T04:25:00.000Z,163.392,163.460,163.371,163.447
2026-01-01T04:26:00.000Z,163.447,163.508,163.430,163.493
2026-01-01T04:27:00.000Z,163.493,163.545,163.485,163.534
2026-01-01T04:28:00.000Z,163.534,163.586,163.515,163.571
2026-01-01T04:29:00.000Z,163.571,163.645,163.556,163.630
2026-01-01T04:30:00.000Z,163.630,163.694,163.623,163.687
2026-01-01T04:31:00.000Z,163.687,163.760,163.671,163.738
2026-01-01T04:32:00.000Z,163.738,163.793,163.722,163.777
2026-01-01T04:33:00.000Z,163.777,163.827,163.772,163.826
2026-01-01T04:34:00.000Z,163.826,163.882,163.817,163.867
2026-01-01T04:35:00.000Z,163.867,163.936,163.864,163.920
2026-01-01T04:36:00.000Z,163.920,163.960,163.901,163.957
2026-01-01T04:37:00.000Z,163.957,164.009,163.955,164.003
2026-01-01T04:38:00.000Z,164.003,164.065,163.983,164.048
2026-01-01T04:39:00.000Z,164.048,164.102,164.047,164.085
2026-01-01T04:40:00.000Z,164.085,164.146,164.082,164.136
2026-01-01T04:41:00.000Z,164.136,164.177,164.111,164.172
2026-01-01T04:42:00.000Z,164.172,164.248,164.153,164.228
2026-01-01T04:43:00.000Z,164.228,164.294,164.212,164.270
2026-01-01T04:44:00.000Z,164.270,164.334,164.267,164.327
